aboleth,adult black dragon,zombie,mimic,kobold,owlbear,Plantosaurus Hatchling,Young Plantosaurus,Adult Plantosaurus,Fire-tail Wyrmling,Fire-tail Young,Fire-tail Adult,Giant Chelonian,Giant Chelonian Young,Giant Chelonian Adult,Redcrest Hatchling,Young Redcrest,Redcrest Adult,Purple Dire Rat,Brown Dire Rat,Young Talonwing,Adult Talonwing,Dire Viper,Dire Constrictor,Thunder Mouse,Voltear,Sand Mouse,Sandstrike,Poison Bunny,Toxicthorn,Earthbreaker (male),Earthbreaker (female),Starwhisper,Faecharm,Flame Fox,Flame Mane,Young Lullabye,Jovialuff,Young Nightwing,Adult Nightwing,Feybloom Sprout,Young Feybloom,Adult Feybloom,Young Mushroom Crab,Adult Mushroom Crab,Purple Larve,Giant Purple Moth,Earthling,Earthling Trio,Royal Dire Kitten,Royal Dire Cat,Psionic Duckling,Psionic Duck,Pigkey,Swinkey,Firepup,Firehound,Aquasprite,Whirlstream Elemental,Torrential Elemental,Mindling,Mindmaster,Mindlord,Titanling,Titanfighter,Titanlord,Sproutling,Bellstalker,Vine Tyrant,Tendril Spawn,Tendril Horror,Pebblin,Boulderkin,Stoneward,Flamesteed,Blazecharger,Mindwanderer,Adult Mindwanderer,Magnolet,Magnocluster,Farileaf,Diovian,Triavian,Icepup,Icetusk,Sludge Horror,Toxic Mire,Shellspike,Shellguard,Ectospecter,Ectowraith,Ectophantasm,Terradrake,Young Dreamweaver,Dreamweaver,Snapclaw,Kingclaw,Volt Sphere,Electro Orb,Seedclust,Treantor,Bonecrier,Bonebreaker,Kickmaster,Fistmaster,Tonguelasher,Miasmorb,Toxflume,Rockhorn,Rhygore,Lifebringer,Tangler,Pouchbeast,Currentswimmer,Stormseeker,Swiftfin,Hornfish,Luminara,Stellara,Mimicry Mage,Bladewing,Frostwitch,Thunderbeast,Magmaduck,Clawmauler,Thunderhorn,Floundersnap,Stormwyrm,Morphling,Evoolve,Aquaflare,Voltstrike,Pyreclaw,Data Wraith,Shelldweller,Ancient Shelldweller,Trilobyte,Trilobyte Predator,Skyterror,Colosslumber,Frostwing,Thunderwing,Firewing,Young Starborne Serpent,Adult Starborne Serpent,Ancient Starborne Serpent,Mythra,Psionis,CR,HP,type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,5,Tiny Beast
0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,100,100,77,100,100,100,46,100,0,100,0,100,4,100,100,0,0,100,72,100,0,100,0,100,0,100,82,0,100,86,100,98,98,0,100,1,97,0,100,0,94,0,100,100,0,100,100,0,93,0,0,100,1,0,100,1,80,0,0,8,0,22,0,97,0,22,100,0,8,0,87,0,100,0,100,28,0,0,98,0,97,0,100,2,100,0,34,0,0,0,1,100,0,0,0,26,0,0,68,0,100,0,51,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,58,Medium Beast
0,0,11,0,95,0,24,0,0,0,0,0,0,0,0,100,100,0,100,13,100,0,47,0,76,0,100,0,100,66,0,0,81,0,100,0,94,0,100,0,100,0,0,91,0,100,4,5,0,59,0,0,0,97,0,5,0,100,4,0,100,30,0,0,0,0,100,0,0,96,0,0,0,0,0,0,0,0,2,0,0,86,0,0,0,0,0,17,0,93,0,0,0,0,0,4,0,38,0,41,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,100,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,33,Medium Beast
0,0,100,34,100,0,100,0,0,67,0,0,69,0,0,100,100,100,100,100,100,100,100,47,100,89,100,100,100,100,0,0,100,100,100,1,100,85,100,99,100,100,41,100,100,100,100,100,68,100,71,100,22,100,33,100,0,100,100,9,100,100,90,100,93,0,100,98,0,100,99,100,12,0,100,15,100,0,100,60,100,100,75,99,0,100,43,100,55,100,99,0,0,100,27,100,71,100,92,100,0,100,1,0,0,92,100,21,16,0,100,7,0,100,2,100,8,100,0,73,0,0,0,0,0,0,100,0,33,100,0,0,0,5,100,0,97,0,0,0,0,0,0,0,0,0,0,0,3.0,76,Large Beast
0,0,3,0,92,0,8,0,0,0,0,0,0,0,0,100,100,0,100,2,100,0,30,0,45,0,100,0,100,32,0,0,57,0,98,0,76,0,100,0,100,0,0,80,0,100,1,2,0,34,0,0,0,96,0,1,0,100,0,0,100,4,0,0,0,0,100,0,0,81,0,0,0,0,0,0,0,0,1,0,0,49,0,0,0,0,0,9,0,89,0,0,0,0,0,0,0,19,0,15,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,100,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,27,Small beast
0,0,100,2,100,0,100,0,0,23,0,0,22,0,0,100,100,100,100,100,100,100,100,12,100,59,100,100,100,100,0,0,100,100,100,0,100,43,100,80,100,100,2,100,100,100,100,100,14,100,31,100,1,100,2,100,0,100,100,0,100,100,45,100,51,0,100,91,0,100,83,100,0,0,98,2,97,0,100,15,98,100,13,99,0,100,2,100,11,100,95,0,0,100,4,100,28,100,60,100,0,98,0,0,0,43,100,4,5,0,98,0,0,100,0,100,0,99,0,34,0,0,0,0,0,0,100,0,6,100,0,0,0,0,100,0,80,0,0,0,0,0,0,0,0,0,0,0,3.0,75,Medium beast
0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,99,100,0,100,0,100,0,0,0,0,0,51,0,100,0,0,0,0,0,3,0,0,0,100,0,42,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,Small monstrosity
0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,100,100,95,100,100,100,95,100,0,100,2,100,48,100,100,0,0,100,100,100,0,100,1,100,14,100,97,0,100,99,100,100,100,0,100,0,100,0,100,0,99,0,100,100,0,100,100,1,99,0,0,100,28,0,100,11,98,0,0,35,0,67,0,100,0,73,100,0,42,0,98,0,100,0,100,69,0,0,100,0,100,1,100,15,100,0,75,0,0,0,2,100,0,0,0,76,0,0,91,0,100,0,86,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,17,0,0,0,0,0,0,0,0,0,0,0,3.0,75,Medium monstrosity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,66,0,78,0,100,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,44,0,2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,61,0,0,38,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,11,Small monstrosity
0,0,1,0,97,0,26,0,0,0,0,0,0,0,0,100,100,0,100,6,100,0,30,0,70,0,100,0,100,47,0,0,74,0,100,0,95,0,100,0,100,0,0,86,0,100,1,0,0,49,0,0,0,99,0,0,0,100,0,0,100,14,0,0,0,0,100,0,0,93,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,7,0,98,0,0,0,0,0,0,0,24,0,27,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,45,Medium monstrosity
